状態,棋士番号,棋士名,段位,生年月日,四段昇段日,五段昇段日,六段昇段日,七段昇段日,八段昇段日,九段昇段日,引退日,タイトル保持者
物故,1,金易二郎,名誉九段,,,,,,,,,
物故,2,木村義雄,十四世名人,,,,,,,,,
物故,3,金子金五郎,九段,,,,,,,,,
物故,4,渡辺東一,名誉九段,,,,,,,,,
物故,5,萩原淳,九段,,,,,,,,,
物故,6,中井捨吉,八段,,,,,,,,,
物故,7,大野源一,九段,,,,,,,,,
物故,8,志沢春吉,八段,,,,,,,,,
物故,9,市川一郎,八段,,,,,,,,,
物故,10,坂口允彦,九段,,,,,,,,,
物故,11,塚田正夫,名誉十段,,,,,,,,,
物故,12,梶一郎,九段,,,,,,,,,
物故,13,角田三男,八段,,,,,,,,,
物故,14,加藤治郎,名誉九段,,,,,,,,,
物故,15,松下力,九段,,,,,,,,,
物故,16,奥野基芳,八段,,,,,,,,,
物故,17,小堀清一,九段,,,,,,,,,
物故,18,升田幸三,実力制第四代名人,,,,,,,,,
物故,19,高島一岐代,九段,,,,,,,,,
物故,20,荒巻三之,九段,,,,,,,,,
物故,21,永沢勝雄,八段,,,,,,,,,
物故,22,加藤恵三,八段,,,,,,,,,
物故,23,岡崎史明,八段,,,,,,,,,
物故,24,北楯修哉,九段,,,,,,,,,
物故,25,松田茂役,九段,,,,,,,,,
物故,26,大山康晴,十五世名人,,,,,,,,,
物故,27,山本武雄,九段,,,,,,,,,
物故,28,山中和正,八段,,,,,,,,,
物故,29,板谷四郎,九段,,,,,,,,,
物故,30,本間爽悦,八段,,,,,,,,,
物故,31,高柳敏夫,名誉九段,,,,,,,,,
物故,32,広津久雄,九段,,,,,,,,,
物故,33,吉田六彦,七段,,,,,,,,,
物故,34,富沢幹雄,八段,,,,,,,,,
物故,35,原田泰夫,九段,,,,,,,,,
物故,36,星田啓三,八段,,,,,,,,,
物故,37,南口繁一,九段,,,,,,,,,
物故,38,北村秀治郎,八段,,,,,,,,,
物故,39,花村元司,九段,,,,,,,,,
物故,40,山川次彦,八段,,,,,,,,,
物故,41,佐瀬勇次,名誉九段,,,,,,,,,
物故,42,加藤博二,九段,,,,,,,,,
物故,43,丸田祐三,九段,,,,,,,,,
物故,44,灘蓮照,九段,,,,,,,,,
物故,45,平野広吉,七段,,,,,,,,,
物故,46,五十嵐豊一,九段,,,,,,,,,
物故,47,清野静男,八段,,,,,,,,,
物故,48,佐藤豊,六段,,,,,,,,,
物故,49,木川貴一,六段,,,,,,,,,
物故,50,下平幸男,八段,,,,,,,,,
物故,51,二見敬三,七段,,,,,,,,,
物故,52,西本馨,七段,,,,,,,,,
物故,53,神田鎮雄,七段,,,,,,,,,
物故,54,熊谷達人,九段,,,,,,,,,
物故,55,増田敏二,六段,,,,,,,,,
物故,56,浅沼一,七段,,,,,,,,,
物故,57,二上達也,九段,,,,,,,,,
物故,58,橋本三治,八段,,,,,,,,,
物故,59,津村常吉,七段,,,,,,,,,
物故,60,北村昌男,九段,,,,,,,,,
物故,61,関根茂,九段,,,,,,,,,
物故,62,大友昇,九段,,,,,,,,,
物故,63,佐藤庄平,八段,,,,,,,,,
引退,64,加藤一二三,九段,1940-01-01,1954-08-01,,,,,,,
引退,65,宮坂幸雄,九段,,,,,,,,,
物故,66,有吉道夫,九段,1935-07-27,1955-05-15,,,,,,,
物故,67,長谷部久雄,九段,,,,,,,,,
物故,68,芹沢博文,九段,,,,,,,,,
物故,69,関屋喜代作,八段,,,,,,,,,
物故,70,賀集正三,七段,,,,,,,,,
物故,71,大村和久,八段,,,,,,,,,
物故,72,大原英二,七段,,,,,,,,,
物故,73,剱持松二,九段,,,,,,,,,
物故,74,佐藤大五郎,九段,,,,,,,,,
物故,75,吉田利勝,八段,,,,,,,,,
物故,76,北村文男,七段,,,,,,,,,
引退,77,内藤國雄,九段,1939-11-15,1958-10-01,,,,,,,
物故,78,伊達康夫,八段,,,,,,,,,
引退,79,佐伯昌優,九段,,,,,,,,,
物故,80,木村嘉孝,七段,,,,,,,,,
物故,81,山口千嶺,八段,,,,,,,,,
物故,82,木村義徳,九段,,,,,,,,,
物故,83,高島弘光,八段,,,,,,,,,
物故,84,板谷進,九段,,,,,,,,,
物故,85,米長邦雄,永世棋聖,1943-06-10,1963-04-01,,,,,,,
